meanB,meanG,meanR,modeB,modeG,modeR,batch,concentration,image,predicted_concentration
91.22953094793965,89.40675931520646,106.18940818397024,92.589452263863,90.6344410876133,107.5414271220832,batch1,40.0,40.0-4_batch1.csv,43.743069602527726
88.89039548022598,83.9276437443199,84.62064251811141,92.13385484571924,83.6110269615268,86.18536097926554,batch2,8.0,8.0-3_batch2.csv,10.141728384485816
82.9223979554582,83.53940054881826,71.3753400801986,83.97225264695145,86.04054173674427,71.03303417987398,batch3,10.0,10.0-4_batch3.csv,8.996409903494055
84.31626492696071,81.1283908068849,79.86823030595039,83.39242660615515,82.37986270022883,80.9443507588533,batch3,2.5,2.5-2_batch3.csv,0.07570285464259996
89.90883356643359,90.81993020134229,83.65954516853932,88.1118881118881,88.87823585810163,82.24719101123596,batch3,50.0,50.0-1_batch3.csv,40.166774125189704
87.82833733578187,83.3013068756821,81.9132232591529,90.6907755332674,83.93689850183549,83.2735104091888,batch2,8.0,8.0-4_batch2.csv,7.210412905453268
83.18312248628885,81.24328999813746,72.99832658123191,83.83389919038913,82.13820078226858,74.41091360066143,batch3,0.0,0-1_batch3.csv,-2.4939772211823765
90.10272093999163,91.07827764434624,84.96417771701982,88.96349139739824,89.92218272648668,84.07382091592618,batch3,50.0,50.0-2_batch3.csv,41.32239353728971
89.46087192118227,86.34170735650767,95.55873226544621,89.59359605911331,87.30800323362975,96.10983981693364,batch1,25.0,25.0-5_batch1.csv,27.019503026707525
87.20326739536125,89.67823429541593,84.74127754532775,87.97653958944282,90.83191850594228,85.77405857740585,batch3,40.0,40.0-5_batch3.csv,36.382321347619836
86.36937012802277,83.54217863682604,85.13087022900763,89.61593172119488,84.23194303153612,87.02290076335879,batch2,10.0,10.0-5_batch2.csv,11.159928809904443
87.10638966872543,81.49078873239436,81.76037633365667,87.59124087591242,81.86619718309859,82.20174587778855,batch3,1.0,1.0-5_batch3.csv,0.9256080228564088
86.74153447531309,81.68734132822735,80.6915868131868,86.36821649632935,82.53552353119017,82.05128205128204,batch3,1.0,1.0-1_batch3.csv,0.035716162389462625
82.38085497726125,81.4782103334555,71.04594258373207,82.61748357756443,82.44778307072188,71.77033492822967,batch2,0.5,0.5-2_batch2.csv,-0.9959115211593144
89.89268806953595,87.52406118622322,83.44334514528704,89.1630450021029,86.15414980755946,82.91991495393339,batch2,25.0,25.0-5_batch2.csv,25.263008355138368
89.11769764837626,91.44358459743292,86.87480305927342,88.1858902575588,91.89031505250875,86.75908221797323,batch3,50.0,50.0-4_batch3.csv,44.147284334687924
83.5508161485441,80.12029518251062,78.46727298645759,84.40005626670417,81.01691561974478,79.11617961511047,batch3,2.5,2.5-1_batch3.csv,-3.168317934717379
86.20438017229205,83.58958340847613,78.35620360648254,88.97048439485948,83.85933273219116,79.43391919653047,batch2,10.0,10.0-2_batch2.csv,8.356139517250995
84.34191254644183,81.90587828881303,79.47561512685496,84.88139468419547,83.14922675235991,81.85734801340354,batch2,2.0,2.0-4_batch2.csv,1.668805757533221
87.83906217821783,90.12746893617022,80.04296213903743,87.12871287128714,88.51063829787235,78.93048128342247,batch2,40.0,40.0-1_batch2.csv,37.16257408332882
83.01008766982827,82.32871510871587,71.41708229626657,84.59369392463472,84.46385430217431,72.26013649136893,batch2,1.0,1.0-1_batch2.csv,2.3414485545102934
92.27171903179875,91.41328870292885,98.1768792750658,91.124822021832,91.7283553266817,99.97076878105815,batch1,30.0,30.0-3_batch1.csv,44.862791484730565
86.25556218905473,82.57119362186788,79.38119026149683,87.06467661691542,82.85876993166288,79.80162308385933,batch3,15.0,15.0-5_batch3.csv,5.044166225626213
